t,PTP_Obs,nSTAT5_Obs,SOCS3RNA_Obs
0,1.76959675698627,0.273450636878323,0.00560922378232243
8,2.34339114569395,NaN,NaN
15,2.39476163509412,2.90014302597155,0.00622331664923495
25,2.43081432525273,NaN,NaN
30,NaN,4.69020454778294,0.005717730726098
35,2.44413404574349,NaN,NaN
45,2.76066500346725,4.9090768883346,0.00741926845511836
55,1.9506171816961,NaN,NaN
60,NaN,NaN,0.00625482921674037
65,2.39887675309012,4.67818560149322,NaN
80,2.33463275548892,4.95896290590801,0.00679595077754638
95,2.39168819003807,NaN,NaN
100,1.89149173677128,4.35154813110216,0.00574752695332092
150,1.88905658272226,3.66148238262687,NaN
200,NaN,5.05759502230407,NaN
250,NaN,3.41975721145516,NaN
