t,PTP_Obs,nSTAT5_Obs,SOCS3RNA_Obs
0,2.64474071722295,1.04501403213223,0.0047512176598903
10,2.57262164595327,NaN,NaN
15,NaN,3.38932200615953,0.00767116563581602
20,1.96022145298331,NaN,NaN
30,NaN,3.75748682204179,0.00733345647139662
35,2.61495514184428,NaN,NaN
45,2.44610887844393,3.62787991420273,NaN
50,NaN,NaN,0.00615272095322911
60,2.56485914879622,NaN,NaN
65,NaN,3.92877330358416,0.00561426032984666
80,2.24107474804031,NaN,NaN
85,NaN,4.36492374473211,NaN
90,NaN,NaN,0.00677055583324449
95,1.90803504762052,NaN,NaN
100,2.125423100881,4.81724379128599,0.00821359188214197
150,1.80991489744352,4.27962454381109,NaN
200,1.91655596690644,3.21311634916219,NaN
250,NaN,4.906600879728,NaN
