t,PTP_Obs,nSTAT5_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,41.3104505750578,0.323024958517377,0.0279936831479119,40.0957641531089
5,34.6910224004928,NaN,NaN,NaN
8.5,NaN,0.496218483009059,NaN,NaN
10,39.7474355916272,NaN,0.026829183982778,NaN
15,40.0900901223486,1.8647959848276,NaN,35.4685263949548
20,38.8048614073941,NaN,NaN,NaN
25,47.4868073240628,4.21064053834565,0.0144081029313089,NaN
35,38.2875034408878,5.60899036032103,0.0218955671247433,35.1370210186829
40,50.5465599646111,NaN,NaN,NaN
45,NaN,7.39103901489731,NaN,NaN
50,45.3920337337949,NaN,0.0373291428074698,NaN
55,NaN,NaN,NaN,38.4046603501645
60,NaN,8.53003497277945,NaN,NaN
65,48.3769320211502,NaN,0.0606405692891203,NaN
75,48.4133546315398,7.12257712935418,NaN,42.3424930744089
80,NaN,NaN,0.0851979563866208,NaN
90,NaN,6.83305826914231,NaN,NaN
95,NaN,NaN,NaN,41.209316132214
100,NaN,6.45765118880199,0.114885778499749,36.8033251117521
150,NaN,4.13789401792553,0.0788468402005381,46.1651519424188
200,NaN,NaN,0.0647134518259493,41.3903749030445
250,NaN,NaN,NaN,47.7175100944186
300,NaN,NaN,NaN,43.3356746956159
