t,PTP_Obs,nSTAT5_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,37.7311864607917,0.00416394094691693,0.0286650078494653,45.3712838485818
15,51.399990541494,0.00204730974371716,0.0249746945789604,45.3093585475935
25,40.9293894100254,NaN,NaN,NaN
30,NaN,0.00634529834957395,0.023886391258534,37.3550700694208
40,45.1232216392996,NaN,NaN,NaN
45,NaN,0.0275620888845254,NaN,NaN
50,NaN,NaN,0.028758403352338,42.8282124137064
55,45.8569940595776,NaN,NaN,NaN
60,NaN,0.0311215715161214,NaN,NaN
65,NaN,NaN,0.0242847448385396,37.4668436187021
70,42.7249453086667,NaN,NaN,NaN
80,NaN,0.042952038938139,NaN,NaN
85,NaN,NaN,0.0228345583033431,35.0657747824021
90,41.7486369238609,NaN,NaN,NaN
100,35.2685320453696,0.0439648781641151,0.023924198850211,39.5542389527983
150,44.2196768961687,0.0446637937990293,0.025917979612274,39.55906777614
200,44.8140810073606,0.0376643548027436,0.0204777408689193,45.8919808831474
250,38.7167340181629,0.0399709128117989,NaN,44.1636795594897
300,NaN,0.0356155347342516,NaN,35.3668281386925
