t,epo_level,SOCS3RNA_Obs
34,6.6667e-07,0.00764347943844338
34,6.6667e-07,0.00719355202725417
34,1.3333e-06,0.00768442305099118
34,1.3333e-06,0.00813063143113089
34,2.6667e-06,0.00478556764759911
34,2.6667e-06,0.00685109190340686
34,5.3333e-06,0.00651268170285309
34,5.3333e-06,0.00574081084832817
34,1.0667e-05,0.00647414855384758
34,1.0667e-05,0.00879617108427349
34,2.1333e-05,0.00775030105109022
34,2.1333e-05,0.00556530664018988
34,4.2667e-05,0.00653058586221963
34,4.2667e-05,0.0022690715156305
