t,epo_level,PTP_Obs,nSTAT5_Obs
10,0,2.05996333802037,-0.143022614471901
10,0,2.48648640521135,-0.112318821043976
10,4.2857e-08,1.35261995328682,1.8425881654024
10,4.2857e-08,2.36685450047539,2.01880147752332
10,1.4286e-07,2.36111972929022,0.672493486045105
10,1.4286e-07,1.50141911508385,0.824859565806232
10,4.2857e-07,1.9970598682794,0.155422786025442
10,4.2857e-07,1.84743733687404,-0.0684006539915142
10,1.4286e-06,2.73043368803656,2.08816641495718
10,1.4286e-06,2.49971302283785,2.17600439835417
10,4.2857e-06,2.03688922244003,1.42610799860836
10,4.2857e-06,2.31593350057158,1.56453338971469
10,1.4286e-05,2.08637347163352,0.029296862481873
10,1.4286e-05,2.3200760764863,0.0277055136037178
10,4.2857e-05,2.30305169457753,-0.144646785704752
10,4.2857e-05,2.01729344127704,0.173687955492914
