t,STAT5A_Obs,STAT5B_Obs,pApB_Obs,pBpB_Obs,nucpApA_Obs
0,91.8941763770499,83.6960491136657,0,8.77852278015244e-10,0.14478020824911
10,23.7195099791156,NaN,NaN,2.06981995203709e-06,NaN
15,NaN,23.874268106385,16.9961689947174,NaN,117.96770391426
20,NaN,NaN,NaN,6.62985249590943e-07,NaN
25,22.7172156442545,NaN,NaN,NaN,NaN
30,NaN,15.3409049861099,NaN,7.22769610716927e-07,140.282690367068
35,NaN,NaN,21.8184998247102,NaN,NaN
40,18.22435896208,NaN,NaN,NaN,NaN
45,NaN,17.2530811810528,NaN,1.97827023708142e-07,102.957298923037
50,34.9424529431523,NaN,25.2526140627528,NaN,NaN
60,NaN,NaN,NaN,1.20541977302377e-07,120.102877338277
65,41.9740841580987,22.0589563286008,NaN,NaN,NaN
70,NaN,NaN,17.7222837940823,NaN,NaN
75,NaN,NaN,NaN,NaN,146.304119672961
80,NaN,13.2484239493432,NaN,1.28372190287513e-07,NaN
85,48.1835358824704,NaN,NaN,NaN,NaN
90,NaN,NaN,8.7517829193766,NaN,NaN
95,NaN,NaN,NaN,NaN,76.6241822391974
100,65.103968799814,20.1926535450499,24.1278590393838,5.27938059393401e-08,79.466359594071
150,97.5864137630509,40.4691660517903,18.1494343974569,NaN,107.813503733769
200,68.5868139949481,35.1023403314444,4.54355371130301,NaN,26.5550409388589
250,137.104173836487,35.1183774483431,3.10066429858978,NaN,18.9590710009393
300,76.549827913465,43.9991183533304,1.4860818616135,NaN,24.2952211386098
