t,ApoER2_Dab1SFK_Obs,SFK_Obs,ApoER2_Dab1_Obs
0,0.000178856164997574,0.00512009863809154,0.946074827892411
20,NaN,0.00628656576673163,0.554365686701477
30,7.2803627039227e-05,NaN,NaN
40,NaN,NaN,0.446351369072568
45,NaN,0.00463783642034256,NaN
60,8.25966251564071e-05,NaN,0.501228232608626
70,NaN,0.00390209079650925,NaN
80,NaN,NaN,0.574901058227704
95,7.90601238756767e-05,0.00416984127060976,NaN
100,NaN,0.00468277054185203,0.871208126046706
150,8.26012308120651e-05,0.0060661227074466,0.888350131645765
200,0.000101591288914511,0.00399210308247808,0.83072501092525
250,9.05161206596684e-05,0.00703371605620743,0.644196573659723
300,NaN,0.00553630898614191,0.771299510136255
350,0.000121354891424515,NaN,NaN
400,9.29204074113265e-05,0.00489567116667019,0.655042021080189
450,NaN,NaN,0.755932211774461
500,0.00013569623093758,NaN,NaN
