t,ApoER2_Dab1SFK_Obs,SFK_Obs,ApoER2_Dab1_Obs
0,2.56954513567128e-10,1.15685190663286e-08,1.4803131970389
5,2.79315285101405e-10,NaN,NaN
10,2.22103280593905e-10,NaN,NaN
15,2.89950695902242e-10,NaN,NaN
20,2.30288805184122e-10,NaN,NaN
25,NaN,1.18066520963256e-08,1.17881445219333
30,1.91572476620149e-10,NaN,NaN
35,2.01036865182026e-10,NaN,NaN
45,3.16289399829427e-10,NaN,NaN
55,NaN,1.09555052406326e-08,0.921349329846881
85,NaN,1.11664743437751e-08,1.17610671691111
100,NaN,1.00649128628346e-08,0.843607001945429
150,NaN,1.02505726416674e-08,1.62080632914609
200,NaN,9.93316348835743e-09,1.25555133164633
250,NaN,9.33620015342774e-09,1.91450424754208
300,NaN,8.09669858444157e-09,1.42768045803414
350,NaN,9.79005859346214e-09,1.17741590124207
450,NaN,1.0278931758714e-08,1.31194140210957
550,NaN,7.20598863736875e-09,1.52282525726317
