t,Reelin_input,ApoER2_Dab1SFK_Obs,SFK_Obs,ApoER2_Dab1_Obs
18,0,7.06699850672755e-05,0.000453588081840247,0.982064024550697
18,0.00012207,7.66511229264074e-05,0.000584957178871946,1.14076980592835
18,0.00024414,4.92699423084666e-05,0.000714401606263767,0.954977158644381
18,0.00048828,6.31628432398834e-05,0.000699489915699932,0.945063910559668
18,0.00097656,6.52897233000061e-05,0.000376680965860736,1.05257872445591
18,0.0019531,9.67396605729094e-05,0.000490672460557191,1.20616366863844
18,0.0039062,6.50732278185755e-05,0.000354275915452867,0.745299444427173
18,0.0078125,3.0987359089372e-05,0.000286970444709003,0.960925414569383
18,0.015625,1.33521804114681e-05,0.00014353526392838,0.639310967061681
18,0.03125,9.99608930375748e-06,9.23800509026856e-05,0.75354704220053
18,0.125,2.55279692851352e-06,2.98410229402772e-05,0.594393609762696
18,0.25,1.23709172754574e-06,1.74898521246365e-05,0.672728594491303
18,0.5,8.3651934074553e-07,8.53368681793569e-06,0.506288790414309
18,1,3.77218455066611e-07,4.26275344493508e-06,0.621806576646225
