t,ApoER2_Dab1SFK_Obs,SFK_Obs,ApoER2_Dab1_Obs
0,0.000160486935680565,0.00533937159625959,0.764777883615196
9,NaN,NaN,0.010903340423485
15,1.332314221753e-06,NaN,NaN
20,NaN,0.00235781914650846,0.0135847724686661
30,1.33970103649701e-06,NaN,0.0123842939899802
40,NaN,0.00364416880287897,0.0124938337367576
50,1.112254908487e-06,NaN,0.0100034366198082
60,NaN,0.00334470703958493,NaN
65,NaN,NaN,0.00870103494197766
70,9.16092978415248e-07,NaN,NaN
80,NaN,NaN,0.00656076863331783
85,NaN,0.00425896165137541,NaN
90,1.02340599831084e-06,NaN,NaN
95,NaN,NaN,0.00700412492540998
100,8.86534311119272e-07,0.00297422602740109,0.00540173822833956
150,4.33874820336339e-07,0.00442531912074923,0.00413785057296463
200,3.57467477696424e-07,0.0037424475768166,NaN
250,NaN,0.00376373676797846,NaN
300,NaN,0.00587876681797961,NaN
350,NaN,0.00468372270493161,NaN
