t,ApoER2_Dab1SFK_Obs,ApoER2_re_Dab1SFKInh_Obs,SFK_Obs
0,1.98902701897128e-10,1.0941187211183e-05,1.05906591262704e-08
15,1.48690614577564e-13,NaN,1.11894895667994e-10
30,1.49369047961306e-13,0.00183125055798256,NaN
35,NaN,NaN,1.36662777576518e-10
45,2.3269966048144e-13,NaN,NaN
55,NaN,NaN,1.05748883938186e-10
60,1.98224520074938e-13,NaN,NaN
65,NaN,0.00218117250168292,NaN
75,NaN,NaN,1.53411961119811e-10
80,1.77699223210106e-13,NaN,NaN
100,1.45919054270975e-13,0.00333557719729903,1.65907316230006e-10
150,2.07623003261525e-13,0.00437592924277086,2.61313342696577e-10
200,8.55678770761423e-14,0.0043679517397143,NaN
250,NaN,0.00582145994383611,NaN
350,NaN,0.00453599983933238,NaN
400,NaN,0.00455420259619202,NaN
500,NaN,0.00465089206266384,NaN
600,NaN,0.00568966722391608,NaN
