t,EGFR_Obs,pEGFR_Obs,Compound_1_Obs
0,59725191.8017314,-8287.98455962945,58425332.1021411
150,37964264.0700192,1297566.78941615,39943629.3063449
300,25275136.0902164,NaN,27653726.9384381
350,NaN,737918.168161748,NaN
450,NaN,NaN,15985377.1570156
500,14385466.6570209,NaN,NaN
550,NaN,409284.664364911,NaN
600,NaN,NaN,9647931.91207339
650,7424006.49292198,NaN,NaN
750,NaN,230943.328346294,NaN
800,NaN,NaN,6201227.01445799
900,4188359.33299679,NaN,NaN
1000,2504396.6843884,106618.174929589,140517.669134218
1500,163550.3655287,36798.5795019235,1856670.21586777
2000,50923.861929038,NaN,354136.281246732
2500,958114.53889048,NaN,382931.976646157
