t,EGFR_Obs,pEGFR_Obs,Compound_1_Obs
0,58118372.0011393,82900.5113046616,60576874.6255485
60,40503847.0778495,NaN,NaN
65,NaN,NaN,48740015.7598338
80,NaN,3989273.87228883,NaN
100,30208887.2450433,NaN,NaN
150,NaN,3191072.52182779,27516648.0580127
200,17087658.1260521,NaN,21653375.3832624
250,15060751.0271143,1808635.26661511,17302616.6949778
350,7339892.06005267,1048711.51318966,10247928.6638057
450,3693321.20276035,644963.40717065,5445231.98854243
550,1524934.55916795,NaN,1779900.15829134
600,NaN,227639.696139591,NaN
700,2182136.63400727,NaN,-33560.6122296841
750,NaN,210064.649976465,NaN
800,NaN,NaN,-889730.230319638
900,NaN,-55674.0592502167,NaN
1000,NaN,-37725.8508011779,526992.396487342
1500,NaN,-32039.0583305526,NaN
