t,EGFR_Obs,pEGFR_Obs,Compound_1_Obs
0,59064439.9132447,45347.9009276264,56729808.3273751
40,33159593.1141098,7757956.23637258,NaN
45,NaN,NaN,47771757.8353965
80,19368776.8988738,8579483.75087526,NaN
90,NaN,NaN,30265079.5958229
100,13297538.8397527,7492998.00288198,NaN
150,7801748.65506324,4173180.86550254,12894498.7198877
200,1377122.2278688,2008524.2149155,5684486.35757911
250,NaN,NaN,2820277.56150045
300,586876.760657246,567446.609006196,924298.390233593
350,-1064274.27038596,81179.2462003344,1115707.17603569
400,NaN,40275.7600293876,NaN
450,926300.728948894,NaN,-137367.846590287
500,NaN,-6636.73095722939,NaN
550,NaN,NaN,710326.598308669
600,NaN,175381.455901371,NaN
650,NaN,NaN,-102070.67428574
750,NaN,-60634.934652158,NaN
800,NaN,NaN,197182.077718828
