t,EGFR_Obs,pEGFR_Obs,Compound_1_Obs
0,59001942.8665882,12104.3855438132,60148890.9556345
35,691643.402002329,21668476.2873121,36818066.2135507
65,NaN,11865869.0687549,NaN
70,1088694.94235035,NaN,12592737.9802678
100,230488.300339612,3955637.20609109,2863681.70297721
150,76903.9156097024,741967.300184827,-844666.601899335
200,89841.5550108669,166916.859876818,354597.784011285
250,-518748.073140559,-96693.7252425483,-248577.658285868
300,-215333.590457564,215160.14857668,995765.301820408
350,162568.522246831,-13172.4361969191,NaN
400,NaN,-106744.670867148,-188520.05031756
450,22728.517949037,NaN,NaN
500,NaN,-243145.444938775,NaN
600,NaN,90392.4688922362,NaN
