t,EGFR_Obs,pEGFR_Obs,Compound_1_Obs
0,58458751.5615184,-4859.47386352186,61638370.0305825
100,NaN,NaN,47662622.8566237
150,40656762.8118647,480356.117451353,NaN
200,NaN,NaN,38439538.4248469
300,30688792.8550931,NaN,NaN
350,NaN,292597.523663543,26454625.0186872
450,24617681.9916601,NaN,24740959.1743482
550,NaN,222866.393369915,NaN
600,15418488.5256376,NaN,17290844.5203322
750,11331607.6420195,132368.305714253,11381216.9757419
900,NaN,NaN,9916586.28939985
950,6993034.74944307,NaN,NaN
1000,7714256.95558205,76548.5951103384,7206167.88110221
1500,2008732.76800876,9886.71999773731,-420150.026763252
2000,229120.680205657,NaN,442133.109476297
2500,2351907.18152238,NaN,NaN
