t,EGFR_Obs,pEGFR_Obs,Compound_1_Obs
0,59271063.1975269,1964.52859473608,59748594.0017075
35,NaN,16407142.1843134,45308545.4649717
45,8000316.89154063,NaN,NaN
75,NaN,11661677.3515771,18893090.9734825
95,1453017.71095298,NaN,NaN
100,NaN,6457823.4139288,10575251.9764274
150,-457236.34281751,1884779.59216398,1447915.92561374
200,296993.683719792,166861.012091801,1349363.40493598
250,NaN,121984.074457138,-103570.823660248
300,913231.304020817,-122694.37161188,NaN
350,-453677.563235453,NaN,1236392.23588324
400,NaN,-28983.7306017757,-1172787.86587515
450,-345967.329349691,94848.5187701995,NaN
550,NaN,134993.218824759,NaN
650,NaN,-131273.665237876,NaN
