t,Compound_1_Obs,Compound_2_Obs
0,1.09264680693035,0.139489880669246
0.085,NaN,0.65431884395803
0.15,NaN,0.638954834625071
0.2,1.16532593871735,NaN
0.25,NaN,0.971398352837687
0.35,NaN,0.887885889472362
0.4,1.74812444262817,NaN
0.5,NaN,1.011227974944
0.6,NaN,1.17926570279826
0.65,0.922655948660721,NaN
0.75,NaN,1.17293231792138
0.85,0.764085206390224,NaN
0.95,NaN,0.800934543273331
1,0.762477900872285,NaN
1.5,0.881222094674841,NaN
2,1.60212255388807,NaN
2.5,1.07989743909786,NaN
3,1.12981489042189,NaN
