t,input_il6,STAT3_Obs
74,0,38.4000732221201
74,0,41.7761182839609
74,0,44.9210181213355
74,0,45.9219032141733
74,0,46.8557622956339
74,0,47.6094387873091
74,0.0005,38.0395947503255
74,0.0005,40.4365757727551
74,0.0005,41.6137529763555
74,0.0005,44.6895723404552
74,0.0005,44.8659078549017
74,0.0005,46.006948392807
74,0.005,35.6421282346567
74,0.005,38.8773059634463
74,0.005,40.7582105647541
74,0.005,40.7908735925193
74,0.005,40.8750810532268
74,0.005,44.9327866418363
74,0.005,45.6972222916187
74,0.005,46.2655372017508
74,0.05,37.9382381958679
74,0.05,41.1627293639896
74,0.05,41.7972191575309
74,0.05,43.7905680704931
74,0.05,43.954858917259
74,0.05,49.0346801963805
74,0.1,34.6786631647798
74,0.1,40.2601676493432
74,0.1,41.1579879817563
74,0.1,41.666245573721
74,0.1,42.0683879094643
74,0.1,42.7667185005655
74,0.1,44.6608720465524
74,0.1,45.4921499119172
74,0.5,36.3402393441548
74,0.5,38.9972662575627
74,0.5,39.5305402684671
74,0.5,40.4673783290754
74,0.5,42.2906115277104
74,0.5,47.0099480597661
74,1,35.446537277388
74,1,37.9511730502872
74,1,38.6147968340072
74,1,42.0455859624614
74,1,48.0318437038251
74,1,48.1838723570884
74,2.5,37.1287042587356
74,2.5,37.644221309165
74,2.5,42.6657642268947
74,2.5,43.372852584402
74,2.5,45.4431231825477
74,2.5,45.5954827800863
74,2.5,46.8503235538319
74,2.5,47.805590192545
74,5,40.4718832610519
74,5,41.7444069662786
74,5,42.361474203624
74,5,43.7346058128312
74,5,44.3074256855553
74,5,45.6758871518318
74,10,39.0212785795504
74,10,44.087828815733
74,10,44.4823655949152
74,10,49.3275473274909
74,25,38.2279951990201
74,25,42.9239567899893
74,50,44.1835609884424
74,50,46.5165036647996
74,100,36.3809066800332
74,100,40.0908765177172
74,100,40.5751863413745
74,100,40.6355362089472
74,100,43.707401552208
74,100,45.1578336179083
74,100,45.7738153520164
74,100,46.2469818711577
74,200,38.9432766403814
74,200,39.8454833602715
74,200,40.0159117311464
74,200,43.0047739396481
74,200,44.24612010783
74,200,44.5026972134835
74,200,45.376643403394
74,200,46.8831388030223
74,500,35.0766185255481
74,500,36.5055981781279
74,500,39.1410076820207
74,500,39.6630014875767
74,500,40.4499396005885
74,500,41.7170353308464
74,500,42.5757499287466
74,500,42.657572422899
