t,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA4_Obs,SOCS3RNA_Obs
0,32.1380752898654,0.495205330651745,-0.623268508824003,0.024849378061968
8,32.566213285898,NaN,NaN,NaN
10,NaN,7.96476705263333,0.498157123896751,0.0412978380130722
15,35.2035160681384,NaN,NaN,NaN
20,NaN,NaN,17.5077751249844,NaN
25,42.2280144751827,0.340779141728456,NaN,0.579306206878892
30,NaN,NaN,13.4313313006996,NaN
35,43.5708642550077,0.164759010068828,NaN,0.711274317588647
45,NaN,NaN,1.52329141431701,NaN
50,41.9258001080305,-0.162729909161622,NaN,0.172925899510706
60,NaN,NaN,-0.190083543150796,NaN
65,39.3968173927152,-0.15777913618101,NaN,0.0213063341996869
75,NaN,NaN,-0.0932960614576262,NaN
80,43.0437487522453,0.80102089416855,NaN,NaN
85,NaN,NaN,NaN,0.00798103633604145
95,NaN,3.11276106872273,-0.133935235336111,NaN
100,37.9180715726162,2.83678881037136,0.730546581109106,0.0409043779649879
150,NaN,0.495729528715988,-0.082646248440932,0.0117964985572175
200,NaN,-0.136132578147596,NaN,NaN
