t,tpSTAT3_Obs,nSOCS3RNA4_Obs
0,0.51118142614416,0.0367648216092822
4.5,NaN,0.0348730268046109
9,NaN,0.0284636510784068
15,NaN,0.0169451699105192
20,14.6827487456246,0.00798699284367969
25,NaN,0.00406682342307324
30,NaN,0.00330963549146051
40,17.6315869116694,0.000723741536050033
45,NaN,0.000937393632296849
55,15.3900928973173,0.000472088327689924
70,NaN,-0.00173082677896526
80,12.6084850159126,NaN
85,NaN,0.000712709808780468
100,16.9021556407562,NaN
150,12.9832425168803,NaN
200,14.1051937544375,NaN
250,10.4880046931994,NaN
300,10.1793011508491,NaN
350,11.0379041325124,NaN
450,9.69783327183665,NaN
