t,tpSTAT3_Obs,nSOCS3RNA4_Obs
0,0.610481038820627,0.170453360583378
8.5,NaN,0.37188260885148
9.5,5.90234566505739,NaN
20,0.608945969988435,8.09947904216685
25,NaN,7.38653206891536
30,0.0500950640567899,NaN
35,NaN,2.52454164104513
40,0.089129657516063,NaN
50,NaN,0.19756189213529
55,0.0545637105816789,NaN
60,NaN,-0.149604487641242
70,0.060611191544988,NaN
75,NaN,-0.0681501106761199
90,0.206073269242909,0.246936694206977
100,0.239009909803891,0.0711212746901106
150,0.401578820261492,0.211176034178206
