t,input_il6,tpSTAT3_Obs
20,0.1,0.53750262497959
20,0.1,0.560139193271008
20,0.1,0.621306066929736
20,0.1,0.659634647426294
20,1,0.939465062621226
20,1,0.969012252666518
20,1,1.01619562009761
20,1,1.0252925260417
20,5,2.31903138694279
20,5,2.36446437019557
20,5,2.44369456374978
20,5,2.48895359067012
20,10,2.70888900287147
20,10,2.73941878257125
20,10,2.77691431326578
20,10,2.89161021582382
20,50,0.780458676196004
20,50,0.837371903358814
20,50,0.864559619758438
20,50,0.908000132475996
20,100,0.264146215927291
20,100,0.328289187051899
20,100,0.473403455465487
20,100,0.480698434535861
20,500,0.0316167041504524
20,500,0.0647943431218061
20,500,0.170922515669921
20,500,0.197546559295079
