t,tpSTAT3_Obs,nSOCS3RNA4_Obs
0,0.526440217313732,-0.160398411068706
3,2.61235787812741,-0.551965952467451
5.5,NaN,0.218206060549465
6,8.20966737182597,NaN
8.5,NaN,3.04635922342546
9.5,11.520369344321,NaN
10,NaN,3.57845359499652
15,4.60388270704632,21.3258178047982
20,0.453685541010056,37.9075069177509
25,-0.00353042178244983,33.4882271337568
30,-0.140522864926791,22.8549773334022
35,-0.0494841794834034,10.1402887402501
40,NaN,5.54969878043272
45,0.0730070441151246,NaN
50,-0.178170756037556,-1.07852094496017
60,-0.0768700835004542,NaN
70,-0.188230746005727,NaN
