t,input_il6,SOCS3RNA_Obs
55,0,0.00056825863237572
55,0,0.000657800772614479
55,0.5,0.000297961645253543
55,0.5,0.00046987127955438
55,1,-0.000423867563474911
55,1,0.00048047094209238
55,2.5,0.000381348313544492
55,2.5,0.000688207858214468
55,5,0.00316381327601471
55,5,0.00375321399031952
55,10,0.00604991689360032
55,10,0.00610378289814869
55,25,0.0123717920694336
55,25,0.0125341915461947
55,50,0.0172388643550182
55,50,0.0182656053777603
55,100,0.0216396278952191
55,100,0.0236766126262627
55,500,0.0320100638055577
55,500,0.0324547160878571
