t,tpSTAT3_Obs,nSOCS3RNA4_Obs
0,-0.349261281397279,0.0369845163254258
4,NaN,0.0336690443387519
8.5,NaN,0.0275063721120264
15,NaN,0.0179050502229926
20,14.6217799575339,0.00880815154707391
25,NaN,0.0039006466173976
30,NaN,0.000539846198301165
35,NaN,0.00100690778805742
40,16.7535718322685,NaN
45,NaN,0.000995794915371566
50,NaN,0.000501163014013857
60,14.0587714175121,NaN
65,NaN,-0.00112352750846124
75,NaN,-0.00125951444770035
85,13.778161454159,NaN
100,15.6504406318163,NaN
150,14.4649552787777,NaN
200,12.7424620472854,NaN
250,10.1658098527012,NaN
300,11.2755449788219,NaN
350,10.0268640411999,NaN
450,8.24395723301863,NaN
