t,tpSTAT3_Obs,nSOCS3RNA4_Obs
0,0.403378833896631,-0.125858099502165
9,7.36752723705353,NaN
20,0.851221834678189,17.0373742470003
30,0.192800170942725,NaN
40,0.198243043978464,3.57061858309819
55,0.111007859879761,NaN
65,NaN,0.121031003853307
70,0.0118328334321945,NaN
85,NaN,0.00699100680713574
90,0.0836931956455162,NaN
100,NaN,0.290176200798953
150,NaN,-0.108538728858309
200,NaN,0.207900872871077
250,NaN,0.372784195018728
300,NaN,-0.0918943218861379
350,NaN,0.103515617590446
450,NaN,0.239943539578174
