t,input_il6,tpSTAT3_Obs,nSOCS3RNA4_Obs
6,5,1.25874001537035,0.0297385795910962
6,5,1.51924767310222,0.0277998167409994
6,5,1.56951434768104,0.0374042031328674
6,5,1.62710895206905,0.0452190451159407
6,20,2.39449898767086,0.0441853617066702
6,20,2.5246871978887,0.0398920104036005
6,20,3.0294439302345,0.0496839209624827
6,20,3.26420268446813,0.033853773086636
6,40,4.40196771105581,0.0634280164648474
6,40,4.47483157932075,0.0687020563456442
6,40,4.89364191950068,0.0654723967997855
6,40,5.44779313324412,0.0755236915872614
6,90,8.25965184838119,0.162769103962539
6,90,8.44715950227955,0.161538935736642
6,90,8.66149396049183,0.166807810654137
6,90,9.35173543397635,0.170395668878247
