t,input_il6,SOCS3RNA_Obs
760,0.1,-0.00054321871808463
760,0.1,0.00129531633013896
760,0.5,0.00240107127888054
760,0.5,0.00459874986944103
760,1,0.00329229559366107
760,1,0.00543236241508077
760,2.5,0.00521068078836357
760,2.5,0.00556482065048389
760,5,0.00219972679922126
760,5,0.00347373354723451
760,10,0.0135537799529043
760,10,0.0181502404575386
760,25,0.048766080048869
760,25,0.05235302933391
760,50,0.071074045627732
760,50,0.0714959331588107
760,100,0.0921170930087816
760,100,0.0929188050647596
760,500,0.0512093846392016
760,500,0.05228766643223
