t,input_il6,STAT3_Obs
960,0.1,43.1617319236694
960,0.1,43.8633089666916
960,0.5,40.0648813704858
960,0.5,43.5646833389588
960,1,42.4142825798383
960,1,42.6249515212229
960,2.5,41.9810026770895
960,2.5,44.6734025002572
960,5,39.6670630220838
960,5,41.8870671962689
960,10,41.0265195006929
960,10,43.4402378269899
960,25,33.9605053739771
960,25,41.704134416587
960,50,35.7862931150467
960,50,45.1203203797391
960,100,36.4982097314704
960,100,40.7585513668336
960,500,38.6605246889994
960,500,41.6365508696481
