t,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,0.247283774290491,0.0343745130169365,-0.548199956422434
0.03,NaN,NaN,0.12935479448345
0.055,NaN,NaN,-0.405535768334532
0.085,NaN,NaN,0.0719504147823206
0.1,NaN,NaN,0.787157088255258
0.15,NaN,NaN,0.275284891497243
0.2,NaN,NaN,-0.380603038550681
0.25,NaN,NaN,-0.421786365841066
0.3,NaN,NaN,-0.0107636948640037
0.35,NaN,NaN,-0.527153699011631
0.4,NaN,NaN,0.116274365553434
0.45,NaN,NaN,-0.240546839817131
0.5,NaN,NaN,0.162892508287686
0.55,NaN,NaN,-0.68616449943436
0.6,NaN,NaN,-0.407518186621697
0.65,NaN,NaN,0.117190166920286
0.7,NaN,NaN,-0.15734422624354
0.8,NaN,NaN,-0.260314152122217
0.85,NaN,NaN,0.427951443805568
0.95,NaN,NaN,-0.187040417339406
1,NaN,NaN,0.297572628835762
1.5,NaN,NaN,-0.200814152513009
2,NaN,NaN,-0.0989594008959418
2.5,NaN,NaN,0.032562799909085
3,NaN,NaN,0.176414146330463
3.5,NaN,NaN,0.0768186949922037
4,0.0126922342639645,NaN,-0.303506914624604
4.5,NaN,NaN,0.274734206453605
5.5,NaN,NaN,0.0576428142389597
6,NaN,NaN,0.0640775796483198
6.5,NaN,0.114310756348733,-0.0511891882543133
7.5,NaN,NaN,-0.469466718509492
8.5,0.00478291485466713,NaN,0.0501278255878434
9.5,NaN,NaN,-0.529963964878155
10,NaN,NaN,-0.2702763661515
15,0.0262810157333421,0.137569912356432,NaN
20,0.0461053309920007,0.184320988998396,NaN
25,0.000594614434300082,0.174620813247903,NaN
30,-0.00538931534886575,NaN,NaN
35,NaN,0.0992618427597698,NaN
40,0.0128782672341985,NaN,NaN
45,NaN,0.147828136479596,NaN
55,NaN,0.108719368667435,NaN
65,NaN,0.0993756192369581,NaN
80,NaN,0.0986098701372736,NaN
95,NaN,0.155289936230331,NaN
100,NaN,0.0778209346094572,NaN
