t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,pAC_Fsk_Obs
0,0.00495496163583323,0.196427769504695,-0.000115854479608453,-0.34420859768527
6,NaN,0.206204712444521,NaN,NaN
8,NaN,NaN,7.06281876097271e-05,NaN
10,-0.545092569613952,0.240158382686584,NaN,-0.332158824874293
15,NaN,NaN,0.000631416913144604,NaN
20,NaN,0.0320201558216443,NaN,0.233733162218959
25,-0.00753782943777966,0.0452882191656793,0.000527365791498128,NaN
30,NaN,NaN,NaN,0.248764879443357
35,NaN,0.0144641359060857,0.000423982938339494,NaN
40,-0.0274499783588998,NaN,NaN,NaN
45,NaN,NaN,0.00044645939732581,0.324617277162763
50,NaN,0.0524755188790798,NaN,NaN
55,-0.503603819304168,NaN,NaN,NaN
60,NaN,NaN,0.000377970443955543,NaN
65,NaN,NaN,NaN,0.0224456216158573
75,0.208036517930324,NaN,0.000260121481604422,NaN
85,NaN,NaN,NaN,-0.469713175299751
90,NaN,NaN,0.000284894891120549,NaN
100,0.279988638015639,NaN,NaN,NaN
