t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,0.0069245742209695,0.320563633466559,0.0491692242888851,0.772078599248873
7.5,-0.0132952904068907,0.270897118717786,NaN,NaN
15,-0.0166698985330095,0.306143235782709,NaN,NaN
20,NaN,NaN,0.0447211612340621,NaN
25,0.00764338623363476,0.138306746537088,NaN,-0.0186153014647247
30,NaN,0.278149705223077,NaN,NaN
35,0.0594354314293026,NaN,-0.0315494991036879,NaN
40,NaN,0.214493568843805,NaN,NaN
45,-0.0358060336800818,NaN,NaN,NaN
50,NaN,0.23212190509477,NaN,NaN
55,0.00580071743634013,NaN,0.0303177117527829,-0.229883046808446
65,NaN,0.132689827482123,NaN,NaN
70,0.298364692193692,NaN,NaN,NaN
75,NaN,NaN,0.215740438181535,NaN
80,NaN,0.0284696772502325,NaN,NaN
90,0.249315515236558,NaN,NaN,-0.447279777123665
95,NaN,0.0308906397139078,0.0576952515322734,NaN
100,0.258726757729479,0.0107139626123887,0.119812251145815,NaN
150,NaN,0.0443794717505387,0.0686165720363565,0.238734645583098
200,NaN,NaN,0.102235666971558,0.33218727652592
250,NaN,NaN,0.150517206400082,NaN
300,NaN,NaN,0.088821352966244,0.28459142331671
350,NaN,NaN,0.116096149696802,NaN
450,NaN,NaN,0.139204662405151,NaN
