t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,-0.0573838858408389,0.25879163506828,0.00287121862025579,-0.0325362239604322
6,NaN,NaN,0.0417012881601047,NaN
9,-0.15803170250937,NaN,NaN,NaN
10,NaN,NaN,0.0642775974804964,NaN
15,NaN,-0.00579813157179748,NaN,NaN
20,0.123607318055914,NaN,0.159912012551155,-0.278886349585037
30,0.251743706891675,NaN,0.0912289394010624,NaN
35,0.345371174054599,0.000945889791849549,0.108191982449698,NaN
40,NaN,NaN,NaN,0.0664901056260692
50,0.438585837043547,-0.00781480390307244,0.15057280881599,NaN
60,0.244161134521248,NaN,NaN,NaN
65,NaN,NaN,NaN,-0.553955048692985
70,NaN,0.00185888868407161,NaN,NaN
75,0.269110919724092,NaN,NaN,NaN
90,0.328841909814762,0.000488772547002665,NaN,NaN
95,NaN,NaN,NaN,0.359882119208809
100,0.341544933322972,-0.0119345688528528,NaN,0.266899344661389
150,0.232472709717008,0.00593892002398656,NaN,0.560046386173294
200,0.239105149892129,-0.00160924843139115,NaN,0.110686563846099
250,NaN,0.00739118092833136,NaN,0.0910236137096538
300,NaN,0.00589507201834849,NaN,NaN
