t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,-0.820504129933621,0.129691192129447,0.0139524895022265,-0.687185825110692
10,NaN,NaN,NaN,0.490573471227813
15,0.212397518062389,NaN,NaN,NaN
20,NaN,NaN,NaN,0.00129390976957336
25,NaN,0.200137208862293,0.00927785637771157,NaN
30,-0.627762312166788,NaN,NaN,0.528472253463987
45,-0.544748852208174,NaN,NaN,-0.702957258547259
50,NaN,0.329600657293631,0.00714179666742614,NaN
60,NaN,NaN,NaN,-0.000868947017698796
65,0.464987138395154,NaN,NaN,NaN
75,NaN,0.113933854279187,NaN,NaN
80,NaN,NaN,0.0116373306173883,-0.000857513240704556
90,-0.691676468586185,NaN,NaN,NaN
100,-0.547899918758332,0.161569621019907,0.00394160904577938,0.0262205320504562
150,NaN,0.237740573199121,0.00578371236092784,NaN
200,NaN,0.214555408344327,0.00818607873410607,NaN
250,NaN,0.0848465747971228,0.0142922794360707,NaN
300,NaN,0.1506253440332,0.00772809229144433,NaN
350,NaN,0.155860509638426,0.00105361073582531,NaN
450,NaN,0.172108562100112,0.00623177616736523,NaN
