t,AC_Fsk_Obs,RIIp_C_2_Obs,Rp8_Br_cAMPS_Obs,Rp8_pCPT_cAMPS_Obs,RIIp_Rp_cAMPS_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,pAC_Fsk_Obs
0,0.364643699344258,0.256505977256565,0.257513925398186,0.504503982654936,-0.0187695118629394,0.235464145152726,-0.17575332075101
3,NaN,NaN,NaN,NaN,NaN,NaN,-0.281622959898151
4.5,NaN,NaN,NaN,NaN,NaN,0.389257212331901,NaN
5.5,NaN,NaN,0.116780876287635,-0.169486240743292,-0.119628748843286,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,-0.527330350086168
8.5,NaN,0.206004743531766,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,0.077734657747966,NaN
10,NaN,NaN,0.271288979621354,0.622732791548759,-0.0623799160152861,NaN,-0.387250354516187
15,0.121563137522884,0.288339568320226,NaN,0.525381225897954,0.221031743110936,-0.704478092695173,-0.356503420432757
20,NaN,NaN,0.405153279123822,NaN,NaN,-0.517761399488109,0.148432263054742
25,NaN,0.310646117711616,0.043192387600746,-0.122037381930817,0.218293398560605,0.430203285915341,0.0481548236845841
30,0.873792957511498,NaN,NaN,0.192053031619931,0.701574902109126,-0.00690795194219622,0.2471823209059
35,NaN,0.209802654513302,0.313784972709945,NaN,NaN,NaN,NaN
40,NaN,NaN,0.246735278146642,0.416166621446698,-0.35464543127316,0.303924950049282,NaN
50,-0.441499060565321,0.236880606734077,NaN,-0.613538965783727,0.0277724837533026,0.355184633675188,NaN
55,NaN,NaN,0.333879630804227,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,-0.556934945652373,0.209637223432092,NaN
65,-0.513470326802805,0.419300061341475,-0.204460168682542,0.78369274005814,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.0921910312417874,NaN,NaN
80,NaN,0.0540743288321333,NaN,NaN,NaN,NaN,NaN
85,0.747820664430029,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0365115131621372,NaN,NaN,NaN,NaN,NaN,NaN
150,-0.205035544167533,NaN,NaN,NaN,NaN,NaN,NaN
200,0.252118787641874,NaN,NaN,NaN,NaN,NaN,NaN
250,0.102939282996241,NaN,NaN,NaN,NaN,NaN,NaN
300,-0.279984736971421,NaN,NaN,NaN,NaN,NaN,NaN
350,0.0890367355702839,NaN,NaN,NaN,NaN,NaN,NaN
