t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,0.084297409511728,0.2479983907483,0.0091666027565343,0.409154697454157
4.5,NaN,NaN,-0.0422086479741125,NaN
6.5,NaN,0.228547450496487,NaN,NaN
7.5,NaN,NaN,NaN,-0.40229165874508
9.5,NaN,NaN,0.00410593280327845,NaN
10,-0.0122283463791253,NaN,NaN,NaN
15,NaN,0.0217429268352503,0.180939468382532,0.247299086855934
20,0.192214835530655,-0.0331125171965723,0.155491987180617,NaN
25,NaN,NaN,0.107906981607868,0.448865305320691
30,NaN,0.00461231669324852,NaN,NaN
35,0.396338234428854,0.00309597596861753,0.0815648960009943,-0.171178254129139
40,NaN,NaN,0.0990644658558001,NaN
45,0.257589582425808,-0.0150250303245302,NaN,0.219302012042569
50,NaN,NaN,0.10990304174688,NaN
55,NaN,NaN,NaN,0.171411246433761
60,0.466355906174864,0.0264556422678113,0.103721353213766,NaN
70,NaN,-0.0292909129570692,NaN,NaN
75,0.456582236509253,NaN,0.0426432756020799,-0.758188450795989
90,0.326451400405189,-0.012129753721342,NaN,NaN
95,NaN,NaN,NaN,0.249487957907732
100,0.349919160965729,0.00840070509538496,NaN,NaN
150,0.241375854425691,-0.0197866509817035,NaN,NaN
200,0.264321588318579,NaN,NaN,NaN
250,0.250019947918617,NaN,NaN,NaN
