t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,pAC_Fsk_Obs,RII_2_Obs,Sp8_Br_cAMPS_Obs
0,-0.0696934061247996,0.250309264229181,0.0104339024861432,0.000138261797941633,-0.477174923601586,0.0262213278885717,-0.154309570921498
3,NaN,NaN,NaN,NaN,NaN,NaN,2.58977015983273
3.5,NaN,NaN,NaN,NaN,-0.664900410241285,NaN,NaN
4.5,NaN,0.0763429464901515,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,0.00292861341907459,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,6.7123508342016
7,NaN,NaN,NaN,NaN,-0.786864963141193,NaN,NaN
8,NaN,NaN,NaN,0.000351087332689544,NaN,NaN,NaN
8.5,-0.112711079163185,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,0.0383549658682488,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,1.92363680225344
10,NaN,NaN,0.00276465140800892,NaN,-0.309948112023755,NaN,NaN
15,0.443419546119436,-0.00301958722010634,NaN,0.000411952804216012,-0.429283283426219,0.0532079527593699,3.78010469708852
20,NaN,0.0139743895506284,0.00230083242555538,NaN,0.316461956357528,NaN,8.03296944170456
25,0.154483668737775,-0.00914319404927355,5.74994415928926e-06,0.000519255225241383,-0.497824590605557,NaN,11.96009460692
30,NaN,NaN,NaN,NaN,NaN,0.071811537723871,7.7579478925066
35,-0.687332187293759,-0.00763331107364643,2.87608276754505e-05,0.000405998166439358,0.232671390418831,NaN,12.3339764588953
40,NaN,-0.00751822483021279,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,0.00186548872077635,9.4574515182558e-05,NaN,0.035830312474407,13.0770079943026
50,-0.0581862947945678,NaN,NaN,NaN,NaN,NaN,10.4693968568238
60,0.396999474164643,NaN,NaN,0.0005618607875514,NaN,NaN,8.27156926729428
65,NaN,NaN,NaN,NaN,NaN,0.0779871048981435,NaN
75,0.290566376592484,NaN,NaN,0.000151078749748093,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.0420475420807941,NaN
90,NaN,NaN,NaN,0.000296193574995455,NaN,NaN,NaN
95,-0.0203783384219623,NaN,NaN,NaN,NaN,NaN,NaN
100,-0.0605186143888204,NaN,NaN,0.000549153261527922,NaN,0.0585462916974041,NaN
150,NaN,NaN,NaN,0.000498424146930507,NaN,0.0682978178987715,NaN
200,NaN,NaN,NaN,NaN,NaN,0.137181570608322,NaN
250,NaN,NaN,NaN,NaN,NaN,0.0716309350182913,NaN
300,NaN,NaN,NaN,NaN,NaN,0.0530873197950983,NaN
