t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,0.0119883433270103,0.286430682441497,-0.0495423384999514,-0.0209973845203589
0.3,NaN,NaN,NaN,0.423278339112901
0.55,NaN,NaN,NaN,0.194540918741417
0.85,NaN,NaN,NaN,-0.448246536730961
1,NaN,NaN,NaN,-0.232949427056434
1.5,NaN,NaN,NaN,0.2643618719521
2,NaN,NaN,NaN,-0.00800108434509344
2.5,NaN,NaN,NaN,0.301543690040526
3,NaN,NaN,NaN,-0.161135733584599
3.5,NaN,NaN,NaN,-0.0685959004090528
4,NaN,NaN,NaN,-0.49341849884029
4.5,NaN,NaN,NaN,0.258653693465767
5,NaN,NaN,NaN,-0.0722985110530076
5.5,NaN,NaN,NaN,-0.572852155391038
6,NaN,NaN,NaN,-0.372077802503174
6.5,NaN,NaN,NaN,-0.477509964629629
7,NaN,NaN,NaN,-0.307470789414893
7.5,NaN,NaN,NaN,0.112538362729599
8,NaN,NaN,NaN,-0.104352176396849
9,NaN,0.222613336509671,NaN,-0.43936458869513
9.5,-0.0239568954715051,NaN,NaN,NaN
10,NaN,NaN,NaN,0.373990072332754
15,NaN,NaN,NaN,-0.166544835304835
20,-0.00450175823614645,0.249494389301666,0.0155983740966208,0.575067669999513
25,NaN,NaN,NaN,-0.189843029995105
30,0.000835200056252997,0.206518797120105,NaN,0.0310803164107389
35,NaN,NaN,NaN,0.374792557428815
40,NaN,0.110003752180105,-0.0129977697907593,-0.255803938783631
45,0.00374301868161845,NaN,NaN,-0.314593337541019
50,NaN,0.248887309455454,NaN,0.51111900892135
55,-0.00955949464772308,NaN,NaN,-0.198562215003562
60,NaN,NaN,NaN,0.258538797024447
65,NaN,0.135909257644874,0.230392880990587,0.0653587815946198
75,0.1125689398183,0.0249318332562174,NaN,-0.269373865480225
80,NaN,NaN,NaN,0.00323917310680817
85,NaN,NaN,0.119619976711226,NaN
90,NaN,NaN,NaN,0.302911804600591
95,0.12192297821893,0.117732896084226,NaN,NaN
100,0.096543986808883,0.00377655198503742,0.0920798597183694,-0.151252276267425
150,NaN,0.0208648656562189,0.105438008860181,0.0459233246557336
200,NaN,NaN,0.129683505307106,NaN
250,NaN,NaN,0.064999655897956,NaN
300,NaN,NaN,0.111100797957412,NaN
350,NaN,NaN,0.105104380243063,NaN
450,NaN,NaN,0.126234883578912,NaN
