t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,-0.0121225576345157,0.183325163775602,-0.00830366197225328,-0.353265889295421
7,0.00581921682154977,NaN,NaN,NaN
15,0.000139462096845936,0.207320578365586,-0.0144482897432027,NaN
20,NaN,NaN,NaN,-0.225331408994016
25,-0.00908070650280019,0.251884284208296,0.00652880338547243,NaN
30,-0.0173652760773513,NaN,NaN,NaN
40,-0.0147514990128236,0.28996635576028,0.0119568156811905,0.0331816885682048
55,0.0107716725132693,NaN,NaN,NaN
60,NaN,0.18725540642896,0.0102726006593507,0.301660470509199
65,0.120495733468285,NaN,NaN,NaN
75,NaN,NaN,0.122658067805238,NaN
80,NaN,0.0513525212177532,NaN,-0.532982205261941
85,0.0978669965915729,NaN,NaN,NaN
100,0.117803229511953,-0.00718317669375892,0.0792365805612926,-0.404327114318847
150,NaN,0.116434531908424,0.109884798025703,0.526116752045907
200,NaN,NaN,NaN,0.443748278505303
250,NaN,NaN,NaN,-0.149708151829927
300,NaN,NaN,NaN,-0.236567373028092
350,NaN,NaN,NaN,0.642345574556737
450,NaN,NaN,NaN,-0.183504681737936
