t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,0.00221647217970257,0.277862931381929,0.00616420367947497,0.829299159240655
0.15,NaN,NaN,NaN,-0.362808918928424
0.35,NaN,NaN,NaN,-0.0883278129962355
0.5,NaN,NaN,NaN,-0.72770963942859
0.7,NaN,NaN,NaN,-0.131282881948808
0.85,NaN,NaN,NaN,0.82464269374571
1,NaN,NaN,NaN,-0.457349080499705
1.5,NaN,NaN,NaN,-0.282112524468945
2,NaN,NaN,NaN,0.50998544445701
2.5,NaN,NaN,NaN,-0.493438138740636
3,NaN,NaN,NaN,0.547306169482742
3.5,NaN,NaN,NaN,0.156375734764681
4,NaN,NaN,NaN,0.38149247886633
4.5,NaN,NaN,NaN,-0.0738047647537342
5,NaN,NaN,NaN,0.0337570335486423
5.5,NaN,NaN,NaN,0.328457885687382
6.5,NaN,NaN,NaN,0.69732907892423
7,NaN,NaN,NaN,-0.254115052850715
7.5,-0.00819697262292296,NaN,NaN,NaN
8,NaN,NaN,NaN,0.260865419264218
9,NaN,NaN,NaN,0.224157707432983
10,NaN,0.120241377842166,NaN,-0.379094939078986
15,0.00461888485324835,NaN,NaN,-0.412634285366108
20,NaN,NaN,0.0261967234555105,0.0189399136198267
25,-0.00274709493866479,0.276693462840964,NaN,-0.261546292178931
30,NaN,NaN,NaN,-0.243935865972791
35,-0.0114979234108399,0.17916596832473,NaN,NaN
40,NaN,NaN,-0.0228378916736973,NaN
45,-0.00569360680537367,NaN,NaN,NaN
50,NaN,0.144818486482554,NaN,NaN
60,0.000436064651434542,NaN,0.036372705758588,NaN
65,NaN,-0.0047493723476445,NaN,NaN
75,0.0903726066672807,NaN,NaN,NaN
80,NaN,NaN,0.115119091061637,NaN
85,NaN,0.0462355190999444,NaN,NaN
90,0.100700589290499,NaN,NaN,NaN
100,0.0799149797545717,-0.0813914698809706,0.0667197954034271,NaN
150,NaN,0.0490139008777676,0.0527060775026147,NaN
200,NaN,NaN,0.0940356533816121,NaN
250,NaN,NaN,0.067355661722075,NaN
300,NaN,NaN,0.102996204138449,NaN
