t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,-0.00391634499958022,0.287971366426902,0.0157864148663415,0.0265080197077108
7.5,0.00260715862725262,NaN,NaN,NaN
10,NaN,0.34307751489952,NaN,NaN
15,0.00850090011997842,NaN,NaN,-0.0539972232085759
20,NaN,NaN,-0.00750680740247279,NaN
25,-0.000785188048306619,0.207539330529699,NaN,NaN
35,0.0272079518107887,NaN,NaN,-0.577623190464155
40,NaN,0.262008711468247,-0.000978796826932554,NaN
45,-0.00584927298421964,NaN,NaN,NaN
55,-0.0106344776559477,0.270377689065014,NaN,-0.336167865900445
60,NaN,NaN,-0.00118652378591895,NaN
70,0.0890787586535468,0.0184042344878662,NaN,NaN
75,NaN,NaN,NaN,-0.0148932087033506
80,NaN,NaN,0.107562438001993,NaN
90,0.0939637767347,0.0197992819850727,NaN,NaN
95,NaN,NaN,NaN,-0.372239151108086
100,0.110798535406338,0.00950238623730044,0.0936997789819584,0.383613017910259
150,NaN,-0.0128065884160849,0.0909094316641497,-0.00467053645828151
200,NaN,NaN,0.0227249024954598,-0.250264311032169
250,NaN,NaN,0.0728081686701743,-0.398513963340869
300,NaN,NaN,0.0846097193577041,-0.289069917999405
350,NaN,NaN,0.0732394681905247,-0.0989467149504245
450,NaN,NaN,NaN,0.00936989094938413
