t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,-0.0828572577272299,0.25337316047936,0.0387576952865593,0.534019678903245
3.5,NaN,NaN,NaN,-0.230175718480367
6,NaN,0.162206481331353,NaN,NaN
7,NaN,NaN,NaN,0.0647415951098688
8,NaN,NaN,0.0768111383358931,NaN
8.5,0.160689127526543,NaN,NaN,NaN
10,NaN,NaN,NaN,-0.542424738023327
15,-0.166806558659216,0.155919544095571,0.0537080088697587,0.392003828013192
20,NaN,0.105273830690607,NaN,-0.0670720606958597
25,-0.451046327885851,NaN,0.0419662547866538,0.407563685249747
30,NaN,0.0746637358118804,NaN,NaN
35,-0.185468959407528,0.138662017020745,0.0812816765589791,-0.0571817806868984
50,-0.330392985783421,0.0971671756811766,0.022025431276112,NaN
60,-0.353272916290866,0.0971506747018082,NaN,NaN
65,NaN,NaN,0.0425179589016749,NaN
75,-0.341717593344351,NaN,NaN,NaN
95,0.208134729426091,NaN,NaN,NaN
100,-0.46070778957261,NaN,NaN,NaN
