t,AC_Fsk_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,pAC_Fsk_Obs
0,-0.00192553669329767,0.0133816564402109,0.00406938244557195,-0.307185129248987
7.5,-0.00228563724939944,NaN,NaN,NaN
8.5,NaN,0.0994638832316663,NaN,NaN
15,0.000727498953654265,0.178090043183831,NaN,NaN
20,NaN,NaN,0.0155917110307183,-0.209068106354936
25,-0.00293511270813652,0.159857740728223,NaN,NaN
35,0.00685699360958499,NaN,0.0152332204568053,NaN
40,NaN,0.238705369924987,NaN,0.450076251763179
45,-0.00621939448636755,NaN,NaN,NaN
50,NaN,0.182185442784292,NaN,NaN
55,0.00400472225461222,NaN,0.0343726978642955,NaN
60,NaN,NaN,NaN,-0.901201803062175
70,0.0423359554987584,-0.0847408534912548,NaN,NaN
75,NaN,NaN,0.100653795607313,NaN
80,NaN,NaN,NaN,0.0703646924534327
90,0.0445692106717796,NaN,NaN,NaN
95,NaN,NaN,0.0631579134194626,NaN
100,0.0391873319819332,NaN,0.0760077113802857,-0.50132769275801
150,NaN,NaN,0.12175324408504,-0.390282995868993
200,NaN,NaN,0.096496225013609,-0.123553886302622
250,NaN,NaN,0.0463021819914404,0.00122591941458495
300,NaN,NaN,0.0636141511634015,-0.00216972525917574
350,NaN,NaN,0.0639064312374507,0.146128314898099
450,NaN,NaN,0.0836724952411426,-0.0720581134942446
