t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,24722754.5864435,24021430.2141381,8847.74039042988,13080.4469198519,8290.71635485861,108.668191510288,7903.73496063082,-8514.76570299528
65,NaN,NaN,NaN,NaN,NaN,114.000830089654,NaN,NaN
100,NaN,NaN,NaN,NaN,853237.913411386,NaN,NaN,NaN
150,16211864.1525336,15317493.1378774,383481.373922563,744762.556351968,NaN,119.550323321371,381052.022565735,374963.987666229
200,NaN,NaN,NaN,NaN,NaN,103.274075143769,NaN,NaN
250,NaN,13083424.27505,NaN,NaN,627744.098885307,NaN,NaN,NaN
300,11034939.7195161,NaN,NaN,523382.436104775,NaN,130.635424075744,NaN,248986.466172163
350,NaN,NaN,240660.169341951,NaN,NaN,114.979731161998,225487.44870411,NaN
400,NaN,8976875.91375029,NaN,NaN,411800.671338926,NaN,NaN,NaN
450,7471595.7644112,NaN,NaN,384200.588229361,NaN,101.265422452101,NaN,NaN
500,NaN,NaN,154445.696798771,NaN,NaN,NaN,140002.004187262,119122.092732824
550,NaN,5618056.89409251,NaN,NaN,278422.526869218,NaN,NaN,NaN
600,NaN,NaN,NaN,210167.615399394,NaN,107.691315244077,NaN,NaN
650,4881937.84470044,NaN,NaN,NaN,NaN,NaN,NaN,96811.9960320142
700,NaN,NaN,96048.492782848,NaN,186682.093596001,115.152485197586,83854.0103125186,NaN
750,NaN,2781158.56972652,NaN,182575.3969177,NaN,NaN,NaN,NaN
850,2914197.52359044,NaN,NaN,NaN,82555.4958118815,120.669352301311,NaN,55539.8950462838
900,NaN,NaN,60813.2555669718,NaN,NaN,NaN,NaN,NaN
950,NaN,2519576.62895535,NaN,89336.7036322401,NaN,NaN,40931.5713316028,NaN
1000,1689128.55609572,283807.795833771,34315.6905287778,42399.6634072579,58280.6666931799,95.8254548930079,42113.9196364287,37677.5187379043
1500,412505.999643385,867283.480386781,8113.97205789904,50617.9272191236,26449.1726370297,NaN,3395.8867915325,11509.772417344
2000,-57462.0507368816,-327791.864978531,18390.6476081971,10042.3685417082,-5152.68119958649,NaN,-3883.543554405,10628.4952811123
2500,-209506.636485535,444251.627456213,-6199.855775327,-7190.48198998377,-26895.6477713737,NaN,8108.74192779953,-17508.0799122481
3000,NaN,NaN,1833.79658574954,NaN,NaN,NaN,-1788.45348552316,5696.5425786403
3500,NaN,NaN,1830.48754049704,NaN,NaN,NaN,NaN,NaN
