t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,23673608.4174391,23399412.1432308,5388.87806899287,6949.9370372654,1673.05965664948,125.102581969532,-1807.50992176516,8523.25460641137
100,NaN,NaN,NaN,NaN,NaN,105.332900225078,NaN,NaN
150,18117307.9585373,16835933.4500895,NaN,NaN,NaN,NaN,NaN,134897.904989508
200,NaN,NaN,119938.572016415,239430.51238979,250042.89115878,NaN,122131.485089503,NaN
250,14479140.0150713,NaN,NaN,NaN,NaN,114.96292498082,NaN,NaN
300,NaN,12206552.9526832,NaN,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,93428.5101879312,NaN,NaN,112.331907247006,NaN,89060.4817162329
400,10009780.8176197,NaN,NaN,172156.88129894,160809.813068464,NaN,83811.6961259049,NaN
450,NaN,9938247.78249745,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,98.0002770011397,NaN,NaN
550,7691901.70579964,NaN,55225.7979055079,NaN,NaN,NaN,NaN,51911.6938091558
600,NaN,NaN,NaN,90251.5837772381,107774.951128675,NaN,NaN,NaN
650,NaN,6102189.65305338,NaN,NaN,NaN,132.887336459485,44057.8024665817,NaN
700,2892344.1949736,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,29084.6987771378,NaN,NaN,NaN,NaN,36686.1829847837
800,NaN,NaN,NaN,NaN,37353.7016309382,NaN,NaN,NaN
850,5592565.34092173,2523947.43752014,NaN,43611.1424811077,NaN,127.702685598158,NaN,NaN
900,NaN,NaN,NaN,NaN,NaN,NaN,31305.6124194244,NaN
950,NaN,NaN,18186.961223438,NaN,NaN,NaN,NaN,NaN
1000,1590135.82769078,2803899.32225796,17402.712246186,39643.4914919319,51609.9023522274,97.24962140494,19290.4995547705,20272.9919467108
1500,1943759.37721682,-372453.674734903,9011.94182827393,26310.9765057658,5110.38697342495,99.2302986738509,9442.90057667588,6252.50302097388
2000,2077889.31364404,535940.06188616,1737.357530267,22804.3902771231,12175.8254296658,NaN,2867.81777826217,NaN
2500,-483581.931381759,-218020.926335267,-920.42998727859,NaN,NaN,NaN,NaN,NaN
3000,NaN,65381.3323098212,4298.72453212758,NaN,NaN,NaN,NaN,NaN
3500,NaN,NaN,3081.38903937102,NaN,NaN,NaN,NaN,NaN
