t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,22086001.5323368,24392380.6904613,-28789.025419339,124186.506608174,-147480.81806095,119.275799008827,1238.96903017284,71144.0874651958
55,NaN,NaN,NaN,NaN,NaN,103.219615068909,NaN,NaN
65,19370923.6192158,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,2392040.67015871,NaN,NaN,NaN,NaN
75,NaN,17715194.7233932,NaN,NaN,NaN,NaN,1308104.26671693,NaN
85,NaN,NaN,NaN,NaN,2387448.11682477,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1312234.92162946
100,NaN,NaN,1253136.89417322,NaN,NaN,131.406407049356,NaN,NaN
150,12069348.6286696,11834263.793605,NaN,2036878.94895438,2071735.43991048,NaN,1028411.85816126,NaN
200,8616907.42945817,NaN,823951.417536463,NaN,NaN,114.323134466805,NaN,814350.507408637
250,8074371.02078717,8343983.14713044,NaN,1346281.72022336,1472833.03826026,105.164055629115,642056.294717088,NaN
300,NaN,5353844.81065036,485828.80067258,1072147.41437077,NaN,NaN,NaN,502011.984662454
350,4845035.13934697,NaN,NaN,NaN,NaN,103.839238597624,445448.798736951,NaN
400,NaN,4386255.82231197,NaN,680165.345112752,723734.624283905,117.316699584202,NaN,265377.117055728
450,3581272.49744444,NaN,272708.316538997,NaN,NaN,NaN,206697.019409177,NaN
500,NaN,NaN,NaN,NaN,397726.579613069,114.138989418562,NaN,NaN
550,2171672.061341,2973500.58135586,NaN,211515.364964442,NaN,NaN,124618.025004412,186588.878166869
600,NaN,NaN,184136.478421073,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,97505.0669928359,166093.853734709,104.024877516459,-3981.37925870482,NaN
700,1209701.77764193,3032433.66770386,NaN,NaN,NaN,NaN,NaN,118818.080943672
750,NaN,NaN,32453.625994264,NaN,NaN,NaN,NaN,NaN
800,392600.695843779,NaN,NaN,136671.499807831,NaN,105.646354502797,-43171.6431186686,NaN
850,NaN,-133873.287687626,NaN,NaN,199159.548555676,NaN,NaN,-1112.59566919643
950,NaN,NaN,NaN,NaN,NaN,NaN,38212.0176754524,NaN
1000,275059.622232695,1460114.71358032,29965.92792152,NaN,NaN,NaN,25673.447415895,-14324.7679225447
1500,NaN,-49774.51250882,NaN,NaN,NaN,NaN,81743.2891727711,-45525.0122752665
