t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,24234715.6799386,23784067.2259488,-192775.025464841,467516.090307977,274831.903198163,119.917789828306,172088.982857051,137379.920844744
30,NaN,NaN,NaN,17354710.5028812,17304172.3533439,NaN,NaN,10191569.6893675
35,NaN,NaN,7457709.82779774,NaN,NaN,NaN,9363204.28580208,NaN
40,8147976.84480424,8679559.86137955,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5154396.59838637
65,NaN,NaN,NaN,9591523.91399438,9038420.45333629,NaN,NaN,NaN
70,NaN,NaN,5222510.993477,NaN,NaN,NaN,2765551.79671687,NaN
80,NaN,2090267.96200356,NaN,NaN,NaN,NaN,NaN,NaN
85,4253165.40069185,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1304609.76384427
95,NaN,NaN,NaN,4232424.89497565,NaN,NaN,NaN,NaN
100,NaN,865623.906480313,3032389.02080595,NaN,3713125.68829768,NaN,781819.905356467,926656.79689539
150,1493943.87003001,119680.331992523,701419.634278247,620919.393961261,1012398.03664356,110.850796049021,283043.658885623,224565.279528335
200,-663424.09336288,NaN,107738.922433159,758399.92094754,91254.5901481768,NaN,-3923.90353661645,134638.768929174
250,-441391.125679894,-317225.488895504,21056.5887474069,57008.0392524494,570192.631392729,NaN,47452.5863301355,-15430.8082200227
300,572516.040492154,68610.4140110485,268456.618831548,283074.344541,61023.4717607389,123.210539145893,-136168.496150519,251453.367876457
350,NaN,21597.9611546512,592.088236844058,NaN,-191503.116493349,NaN,NaN,-42463.0828291013
400,-160686.661583025,NaN,137844.6311425,-756306.420707544,NaN,NaN,101765.687801686,91657.9248691307
450,993165.641392668,-101876.421087707,NaN,-48019.8656040115,183985.920284508,101.641988838168,-57908.2879624111,NaN
500,NaN,NaN,-85885.3180352822,NaN,286652.975351819,NaN,NaN,-241605.046316721
550,NaN,NaN,69977.2086105833,27138.7648595009,NaN,NaN,78454.9764837074,NaN
600,NaN,NaN,NaN,NaN,-190417.374790539,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,134.959250944991,NaN,NaN
700,NaN,NaN,259431.151700973,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,107.237956071056,NaN,NaN
1000,NaN,NaN,NaN,NaN,NaN,114.481935212168,NaN,NaN
1500,NaN,NaN,NaN,NaN,NaN,93.4777182519902,NaN,NaN
2000,NaN,NaN,NaN,NaN,NaN,102.675504438285,NaN,NaN
2500,NaN,NaN,NaN,NaN,NaN,95.2843428660752,NaN,NaN
