t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,24212880.4494231,24633683.6616166,-60618.9493734824,-6019.7970564297,42627.4599235138,114.934347951214,-207688.518288105,-36335.9779541838
50,NaN,NaN,NaN,5568215.25366616,5414206.78833108,NaN,3289656.48670131,NaN
55,16724635.9113826,17471813.9210383,2437282.45589675,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3172010.57691085
100,11500538.8714303,9591097.0972002,2816843.41042491,5109656.0943949,5153336.96129603,110.594595346335,2570318.32027934,2500918.18191682
150,6868591.20579279,6666653.83956506,1935756.9914125,3519180.63441811,3281220.02224647,NaN,1439946.18248263,NaN
200,4070800.47383277,NaN,NaN,1931273.23350649,2118473.80841717,127.2196628497,1047132.89208638,1055696.67496315
250,NaN,3354138.49918438,858973.494552886,1275463.93585735,1305363.92261493,NaN,590952.035379073,616378.978029715
300,1246368.9583545,857089.19323202,469833.338018945,NaN,NaN,102.708778598462,NaN,NaN
350,655645.051605682,NaN,NaN,411981.5561342,664394.636719487,NaN,115750.82612635,219383.051622786
400,NaN,377685.316625805,89588.9338150213,52728.6936290427,310037.430760153,NaN,149981.168576804,20111.523924606
450,-16374.8244726663,NaN,NaN,NaN,NaN,126.321377221741,NaN,NaN
500,NaN,1154534.58487828,24887.0884374891,189366.668737574,133770.179491519,NaN,70834.2727953581,124202.345582616
550,800760.803211884,NaN,NaN,NaN,NaN,96.624065306503,NaN,NaN
600,NaN,NaN,-18043.8612820999,NaN,102234.018084971,NaN,26648.6365200163,NaN
650,-1070103.50390701,NaN,NaN,185091.469632646,NaN,NaN,NaN,157146.919093018
700,NaN,NaN,-104651.070869837,NaN,70.5253526787055,NaN,NaN,NaN
750,NaN,NaN,NaN,219886.64963756,NaN,116.401646152016,55696.8931987446,NaN
800,260784.141129334,NaN,NaN,NaN,85848.1398818769,NaN,NaN,66448.5963983379
850,NaN,NaN,55700.4861494966,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,146398.405199978,NaN,107.912067677697,77371.6398484283,NaN
950,-1031083.02799875,NaN,NaN,NaN,-66412.7460191782,NaN,NaN,-32529.034978191
1000,NaN,NaN,-168.948443682702,NaN,NaN,115.224974282674,NaN,NaN
1500,NaN,NaN,NaN,NaN,NaN,92.9471870270521,NaN,NaN
