t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,24308028.0526033,25031017.5211716,-287028.759785188,178158.706947092,143323.702325205,122.593709437576,45480.5141784528,-83952.7198351006
30,NaN,NaN,4097542.89224121,NaN,NaN,NaN,NaN,7395583.10929485
35,NaN,NaN,NaN,NaN,11678254.5912607,NaN,7264565.14033614,NaN
40,11521694.7278157,13870477.5013187,NaN,11760959.6689108,NaN,NaN,NaN,NaN
65,NaN,NaN,5321374.7243786,NaN,NaN,NaN,NaN,4793382.30117257
70,NaN,NaN,NaN,NaN,9106234.31856808,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,3802896.24532473,NaN
80,NaN,5185850.4676437,NaN,8629707.24568302,NaN,NaN,NaN,NaN
85,7170646.13221167,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,111.41526338759,NaN,NaN
100,NaN,3657652.31085484,3620932.76808406,6741129.22766986,6161091.94813447,NaN,2198316.77878893,2387024.6136741
150,984849.35548455,584485.973685242,1121116.66634533,1869797.0454192,1918546.33794671,NaN,677815.184774137,727502.75838691
200,1547551.50577326,NaN,376946.060650179,703577.724357516,1182999.26448915,116.290566351528,-8593.67159845927,58686.0698323153
250,1054515.35861693,372642.566243001,146858.247378704,69722.9066707193,234198.083285853,NaN,141537.160326599,-66996.8266724476
300,-91446.7418652567,612767.904861503,-36069.9877858663,NaN,295907.524215821,102.156439031881,107921.2387094,NaN
350,NaN,461008.931101143,NaN,142009.357150178,-286215.21948491,NaN,250673.014433511,73803.3835422247
400,-127724.625898542,NaN,176483.669683579,259573.245761248,103015.120795721,96.9297954136064,NaN,182149.729377915
450,-182787.136749598,-469979.183405222,86117.91174612,NaN,NaN,NaN,118242.602009945,NaN
500,NaN,NaN,NaN,209931.355650426,489875.56821452,101.342432376517,NaN,15568.0120166569
550,NaN,NaN,-55288.4694684098,NaN,NaN,NaN,-97149.8952558635,NaN
600,NaN,NaN,NaN,-751878.215540982,419814.891031962,NaN,NaN,-66923.4693087949
650,NaN,NaN,-20281.7954246433,NaN,NaN,101.864625365783,-168737.443242596,NaN
700,NaN,NaN,NaN,NaN,31371.6510193836,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,127.186849683567,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,102.064996423563,NaN,NaN
1000,NaN,NaN,NaN,NaN,NaN,134.8176483797,NaN,NaN
1500,NaN,NaN,NaN,NaN,NaN,130.407558461996,NaN,NaN
