t,S4_Obs,geneF_Obs,geneL_Obs
0,82.0146834452733,1.02588700834005,1.34715685140414
9.5,NaN,NaN,1.13639411080825
10,27.8127708922528,0.470766223534564,NaN
20,NaN,NaN,1.45264501496615
25,52.3579432669472,0.834371375363532,NaN
30,NaN,NaN,1.28724768047831
35,NaN,0.767261754416342,NaN
40,81.1622205167221,NaN,NaN
45,NaN,NaN,1.07991162325262
50,NaN,0.912992012588091,NaN
55,110.806927427041,NaN,NaN
60,NaN,NaN,0.470952974091696
70,139.336268056542,0.689486053888284,NaN
75,NaN,NaN,1.10374415238226
90,NaN,0.91757834216883,NaN
95,3.87336741089301,NaN,NaN
