t,S4_Obs,geneF_Obs,geneL_Obs
0,90.967710459147,2.5751515583158,1.13691333751442
55,29.3184299786142,NaN,NaN
60,NaN,3.98336769085026,NaN
80,NaN,NaN,0.531083838234294
100,22.2381627209206,5.90745781865062,NaN
150,33.6474229133069,NaN,0.64623797075085
200,NaN,6.08037471378538,NaN
250,70.8383608898479,6.38180580196276,0.539344283601396
300,80.9453307151236,5.85167709091424,NaN
350,NaN,NaN,0.572451349905325
400,79.4077665047325,3.17782123796307,NaN
450,36.1062735864437,3.78653435866881,0.680743116622594
550,64.0966829827572,5.12948411881234,0.5857769251317
650,57.5499340888817,NaN,0.628388295893072
700,NaN,3.59806702561229,NaN
800,98.08001774607,5.16593845577165,0.3099897798333
950,61.0082769564482,3.63692411109647,NaN
1000,73.0965026646534,4.58248047653743,0.951406128142714
1500,63.7215557236774,0.302193495380283,1.04949918072708
