t,S4_Obs,geneF_Obs,geneL_Obs
0,165.787152994103,1.61157915324126,1.03822959922915
50,115.788190253695,NaN,NaN
55,NaN,5.00712877905376,NaN
70,NaN,NaN,0.377122875193501
100,98.533239498867,2.52879352219429,NaN
150,150.171723261447,5.1650000026731,-0.0343880679903533
200,101.168691416559,NaN,0.44499909871334
250,NaN,4.53730730657115,NaN
300,88.9098024751576,4.10839056987957,0.49295611365584
350,141.075477032919,5.71582898595241,0.365633028618622
450,186.283989116599,2.47508798154607,0.428368891331706
550,266.643823439571,4.31827297621375,0.402312877781041
650,NaN,3.59965990263884,NaN
700,254.18595213328,NaN,0.514501805766202
750,NaN,5.15321432942164,NaN
850,258.689550888108,NaN,0.831304261986209
900,NaN,6.53784927117008,NaN
1000,217.561253658605,3.97229795151629,0.573182325135928
1500,NaN,4.03526035347817,0.561692984662516
