t,S4_Obs,geneF_Obs,geneL_Obs
0,56.4745453573306,0.68999011661058,1.04160649841892
55,59.7230086002329,3.6659941962241,NaN
70,NaN,NaN,0.299567596465746
100,53.0202094131424,3.86900904817661,NaN
150,44.6348656887924,7.76368574242658,0.186393189270906
200,NaN,NaN,0.117852545604405
250,53.5931479866886,5.41499191660013,NaN
300,49.981689502082,6.59333924294029,0.098250105730084
350,63.842207292076,7.00029817616224,0.113359770445733
450,78.33822658367,7.75312454316101,0.263025613815842
550,60.6584081009704,4.12203825644359,0.0637208471508466
650,57.4228650661035,5.26691304983762,NaN
700,NaN,NaN,0.268829421074178
750,NaN,5.4565385019864,NaN
800,60.7979145536121,NaN,NaN
850,NaN,NaN,0.371144295788382
900,NaN,4.29269496313756,NaN
1000,63.6512695575509,4.7405864737857,0.28647095126918
1500,NaN,0.167280781596797,0.692027885593895
