t,S4_Obs,geneF_Obs,geneL_Obs
0,52.955274638453,2.30001641914231,0.889905624585485
45,48.1517560918804,NaN,NaN
50,NaN,4.50378293415095,NaN
75,NaN,NaN,0.840186566554775
95,69.3299044949121,NaN,NaN
100,NaN,4.50868276922065,NaN
150,10.1706602223822,2.73296795385029,0.183660704113299
200,24.857332088078,4.73775969123192,NaN
250,57.5009838654255,2.76524972356807,0.398124687572317
300,56.1193401583724,6.27556561428331,0.466900968951335
400,31.6136638240695,3.65618606144223,0.249930164518075
450,NaN,3.59843723837369,NaN
500,72.132488255506,NaN,NaN
550,NaN,4.82032271522441,0.53763165778348
600,49.6883176538334,4.18139116157983,NaN
650,NaN,NaN,0.684877766168689
700,44.1571065383479,4.36595597346569,NaN
800,NaN,NaN,0.456094281241304
850,54.2202192271182,3.09752200386517,NaN
950,NaN,3.56288194770288,NaN
1000,67.9984793412511,3.41521699260903,0.830746240952965
1500,NaN,1.20084446244522,0.944310421808422
