t,S4_Obs,geneF_Obs,geneL_Obs
0,102.22474392716,0.592554878471047,1.18568362993271
10,257.371446665963,0.896587958335405,0.421228468477898
20,209.577021238906,NaN,NaN
25,NaN,1.3122937411611,1.20144273423928
30,155.160633156026,NaN,NaN
35,NaN,NaN,0.751916430522841
40,NaN,0.894572888990816,NaN
45,183.330119231364,NaN,NaN
50,NaN,NaN,1.04504322478432
55,NaN,0.884139388239629,NaN
60,137.209835591697,NaN,NaN
70,NaN,NaN,1.65423002292058
75,185.956330617855,1.39541245200628,NaN
90,NaN,NaN,1.29913106184499
95,NaN,0.880751494313185,NaN
