t,Naive_Obs,EarlyEffector_Obs,Memory_Obs,Pathogen_Obs
0,7735.96022862834,78.8157326494682,694.17421387523,0.843958893121337
2,2561.85301769141,NaN,NaN,1.09774807662437
3.5,NaN,161.541530857827,NaN,NaN
4,NaN,NaN,NaN,1.45576699836411
4.5,289.587721010648,NaN,1096.67082455004,NaN
6,NaN,NaN,NaN,1.45189159081074
7,907.540364100807,-304.939524217608,NaN,NaN
8.5,NaN,NaN,NaN,2.92313587342205
9,NaN,NaN,788.026693924289,NaN
9.5,282.299970053333,NaN,NaN,NaN
10,NaN,1786.36334055522,NaN,3.89080407684247
15,400.201411986008,15057.341042817,2125.10179121663,0.585672061830123
20,NaN,292.232157151332,6797.3104717397,-0.377407326024674
25,NaN,110.797613720302,7442.12143490683,NaN
30,NaN,-150.676272436478,NaN,NaN
35,NaN,NaN,10287.7320163243,NaN
40,NaN,113.054818485006,NaN,NaN
45,NaN,788.618595052766,12513.4391470683,NaN
55,NaN,217.230686468007,12261.4854434277,NaN
70,NaN,-146.676866042461,NaN,NaN
