t,AC_Fsk_Obs,Compound_1_Obs
0,0.00644792196699749,6.80134616773799e-05
8,-0.0102743696685289,0.0221621691886047
15,-0.00698718693079193,0.000789590770668032
25,-0.00276617265875362,0.00368489048605711
35,-0.00125773268822057,0.0011775385602261
45,NaN,0.0231090285823001
50,0.00703338337281241,NaN
55,NaN,0.00450057342547966
60,-0.0242255595726012,NaN
65,NaN,0.10959737964121
75,0.107973911323696,NaN
80,NaN,0.10161021511329
95,0.117730507633278,0.113243536339414
100,0.130607772005134,0.11668231001194
150,NaN,0.0916078352791223
