t,RIIp_Sp8_Br_cAMPS_2_Obs,AC_Fsk_Obs
0,0.000222211544115551,-0.196989194542689
10,NaN,0.432695155217379
15,0.00158118195343543,NaN
25,NaN,0.133809722609129
30,0.00116273256334798,NaN
35,NaN,0.105526230067358
45,0.00071176733605487,NaN
50,NaN,-0.131549147817525
65,0.00158593404345879,-0.0231782407947909
80,NaN,0.143059537622784
85,0.00126677110541011,NaN
100,0.000729408345708587,-0.166786120446209
150,0.000952524237769082,0.404728583925151
200,0.000662082658692711,-0.547864656487404
250,0.00129287322835493,NaN
300,0.00136642628117724,NaN
