t,RIIp_Sp8_Br_cAMPS_2_Obs,AC_Fsk_Obs
0,-0.475545809359666,-0.376662084324505
20,-0.287539479584123,0.106127813504027
35,0.408476787397851,0.0939994148287576
55,0.38053080545713,-0.385683109907952
75,-0.572912066611055,-0.237274737075026
95,-0.0127821713972342,NaN
100,-0.401947068705902,-0.151615269883577
150,-0.058161436941967,-0.220732893118276
200,0.111466755743595,0.599185295388601
250,0.319620917966745,-0.125520140597322
300,-0.536754694864695,0.310563266314551
350,-0.123902143760063,0.0363431722357341
450,0.0052080523769118,0.215211646603403
