t,AC_Fsk_Obs,Compound_1_Obs
0,-0.000432018911511666,-0.0224766596945105
8,0.00248996110735328,NaN
15,-7.43993268308541e-05,NaN
20,NaN,0.00036598367498258
25,-0.000585675980948793,NaN
35,0.0037710056796309,NaN
45,-0.00192320966171978,0.00791143212261666
60,-0.00552554614308889,NaN
70,NaN,0.0332282717711141
75,0.0451263194903575,NaN
95,0.04280891406297,0.0518377440757481
100,0.0445088103861999,0.0930657653026724
150,NaN,0.0668722330615692
200,NaN,0.0480541076198587
250,NaN,0.0403856692063322
300,NaN,0.063679491712887
350,NaN,0.0381135044052558
450,NaN,0.0702180748832925
