t,AC_Fsk_Obs,Compound_1_Obs
0,-0.0155482275175395,0.00538688594870096
7,0.0104079129210465,NaN
15,0.0217291899026237,NaN
20,0.0180928986605231,0.00674214073670345
30,-0.0298019937911077,NaN
35,NaN,0.0164616583595347
40,0.00817879844098818,NaN
55,-0.018189819156086,-0.0180733429292143
70,0.332246332943615,NaN
80,NaN,0.198539816094702
85,0.344375372478952,NaN
100,0.363744663640927,0.164684367202224
150,NaN,0.217222543225392
200,NaN,0.115116306531935
250,NaN,0.0848117999034302
300,NaN,0.137966862676767
350,NaN,0.19669644055949
450,NaN,0.158153471420245
