t,AC_Fsk_Obs,Compound_1_Obs
0,-0.00728419977346944,0.0244527646203211
7,-0.0115996334357428,NaN
15,-0.00168996917128411,NaN
20,NaN,0.0159834361672684
25,-0.0118025937663451,NaN
30,0.002210615798671,NaN
35,NaN,0.00172883419254498
40,0.00870310244229767,NaN
55,0.013893120313859,-0.0114779235327355
70,0.129833375634425,NaN
80,NaN,0.0836795672293915
85,0.136370316449847,NaN
100,0.146434428378752,0.102505023776189
150,NaN,0.0718827736347981
200,NaN,0.0727998991298108
250,NaN,0.0892835940850462
300,NaN,0.0700808171871691
350,NaN,0.1026185563771
